2022-11-10 15:56:50.078 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'rurnoverRate' to property 'rurnoverRate' of type 'java.math.BigDecimal'
2022-11-10 15:56:55.683 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:56:55.685 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select count(1) from (select e.id, t.name, e.state, t.description, e.start_time as startTime, e.complete_time as completeTime from execute_info e, task t where e.task_id = t.id) _row]
2022-11-10 15:56:55.685 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:55.703 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:56:55.703 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select e.id, t.name, e.state, t.description, e.start_time as startTime, e.complete_time as completeTime from execute_info e, task t where e.task_id = t.id limit ?, ?]
2022-11-10 15:56:55.704 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:55.706 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'id' to property 'id' of type 'int'
2022-11-10 15:56:55.709 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'name' to property 'name' of type 'java.lang.String'
2022-11-10 15:56:55.709 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'state' to property 'state' of type 'int'
2022-11-10 15:56:55.709 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'description' to property 'description' of type 'java.lang.String'
2022-11-10 15:56:55.709 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'startTime' to property 'startTime' of type 'java.util.Date'
2022-11-10 15:56:55.710 DEBUG 23647 --- [http-nio-2222-exec-9] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'completeTime' to property 'completeTime' of type 'java.util.Date'
2022-11-10 15:57:00.036 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:57:00.037 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select e.id, task_id as taskId, params_str as paramsStr from execute_info e, task t where e.task_id = t.id and t.id in (?) order by t.id]
2022-11-10 15:57:00.037 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:57:00.040 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'id' to property 'id' of type 'int'
2022-11-10 15:57:00.042 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'taskId' to property 'taskId' of type 'int'
2022-11-10 15:57:00.042 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'paramsStr' to property 'paramsStr' of type 'java.lang.String'
2022-11-10 15:57:00.046 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:57:00.047 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select count(1) from (select id, code, name, exchange, abbreviation, state, type, create_time as createTime, update_time as updateTime from stock_info where 1 = 1) _row]
2022-11-10 15:57:00.047 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:57:00.053 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:57:00.053 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select id, code, name, exchange, abbreviation, state, type, create_time as createTime, update_time as updateTime from stock_info where 1 = 1 limit ?, ?]
2022-11-10 15:57:00.053 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:57:00.069 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'id' to property 'id' of type 'int'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'code' to property 'code' of type 'java.lang.String'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'name' to property 'name' of type 'java.lang.String'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'exchange' to property 'exchange' of type 'java.lang.String'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'abbreviation' to property 'abbreviation' of type 'java.lang.String'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'state' to property 'state' of type 'int'
2022-11-10 15:57:00.070 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'type' to property 'type' of type 'int'
2022-11-10 15:57:00.071 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'createTime' to property 'createTime' of type 'java.util.Date'
2022-11-10 15:57:00.072 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'updateTime' to property 'updateTime' of type 'java.util.Date'
2022-11-10 15:57:00.299 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:57:00.299 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select id, code, date, pre_closing_price as preClosingPrice, closing_price as closingPrice, lowest_price as lowestPrice, highest_price as highestPrice, opening_price as openingPrice, trading_value as tradingValue, trading_volume as tradingVolume, rurnover_rate as rurnoverRate from daily_index where date = ?]
2022-11-10 15:57:00.299 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:57:00.326 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'id' to property 'id' of type 'int'
2022-11-10 15:57:00.329 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'code' to property 'code' of type 'java.lang.String'
2022-11-10 15:57:00.330 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'date' to property 'date' of type 'java.util.Date'
2022-11-10 15:57:00.331 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'preClosingPrice' to property 'preClosingPrice' of type 'java.math.BigDecimal'
2022-11-10 15:57:00.332 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'closingPrice' to property 'closingPrice' of type 'java.math.BigDecimal'
2022-11-10 15:57:00.333 DEBUG 23647 --- [http-nio-2222-exec-1] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'lowestPrice' to property 'lowestPrice' of type 'java.math.BigDecimal'
